DATA,QTDE_POSTOS_TRABALHO,QTDE_PLANTAO,QTDE_FALTAS,QTDE_FERIAS,QTDE_SAIDAANTECIPADA,QTDE_RECICLAGEM,QTDE_SUSPENSAO,QTDE_AUSENCIAS_FUNCIONARIO,QTDE_AUSENCIAS_GERAL
2020-01-01,66,12,1,0,0,0,0,1,1
2020-01-02,67,19,0,0,0,0,0,0,0
2020-01-03,67,13,0,0,0,0,0,0,0
2020-01-04,67,16,2,0,0,0,0,2,2
2020-01-05,67,9,0,0,0,0,0,0,0
2020-01-06,67,17,2,0,0,0,0,2,2
2020-01-07,68,19,1,0,0,0,0,1,1
2020-01-08,67,18,3,0,0,0,0,3,3
2020-01-09,67,22,0,0,0,0,0,0,0
2020-01-10,67,16,1,0,1,0,0,2,2
2020-01-11,66,19,2,0,0,0,0,2,2
2020-01-12,66,13,2,0,0,0,0,2,2
2020-01-13,67,17,2,0,0,0,0,2,2
2020-01-14,66,17,1,0,0,0,0,1,1
2020-01-15,67,19,1,0,0,0,0,1,1
2020-01-16,66,20,1,0,0,0,0,1,1
2020-01-17,67,18,0,0,0,0,0,0,0
2020-01-18,66,19,1,0,0,0,0,1,1
2020-01-19,66,14,1,0,0,0,0,1,1
2020-01-20,66,21,1,0,0,0,0,1,1
2020-01-21,67,19,4,0,0,1,0,4,5
2020-01-22,67,21,0,0,0,0,0,0,0
2020-01-23,67,23,1,0,0,1,0,1,2
2020-01-24,67,18,0,0,0,0,0,0,0
2020-01-25,66,19,0,0,0,1,0,0,1
2020-01-26,66,16,0,0,0,0,0,0,0
2020-01-27,68,22,2,0,0,1,0,2,3
2020-01-28,67,22,1,0,0,1,0,1,2
2020-01-29,67,23,0,0,0,1,0,0,1
2020-01-30,67,21,0,0,0,1,0,0,1
2020-01-31,69,24,2,0,0,0,0,2,2
2020-02-01,68,21,2,2,0,1,0,2,5
2020-02-02,68,26,1,2,0,0,0,1,3
2020-02-03,83,21,2,2,0,1,0,2,5
2020-02-04,83,30,2,0,1,0,0,3,3
2020-02-05,82,19,1,0,0,1,0,1,2
2020-02-06,80,26,2,0,0,0,0,2,2
2020-02-07,80,17,1,0,0,0,0,1,1
2020-02-08,80,26,2,0,0,0,0,2,2
2020-02-09,80,10,1,1,0,0,0,1,2
2020-02-10,80,25,4,0,0,1,0,4,5
2020-02-11,81,16,3,0,0,1,0,3,4
2020-02-12,80,23,2,0,0,1,0,2,3
2020-02-13,80,15,2,0,0,1,0,2,3
2020-02-14,80,20,2,0,0,1,0,2,3
2020-02-15,82,15,1,1,0,0,0,1,2
2020-02-16,82,15,2,0,0,0,0,2,2
2020-02-17,83,15,2,1,0,1,0,2,4
2020-02-18,82,17,2,0,1,1,0,3,4
2020-02-19,83,12,2,0,0,1,0,2,3
2020-02-20,83,18,3,0,0,1,0,3,4
